"dv","term","outcome_level","estimate","conf.low","conf.high","p.value","sig"
"Social benefits not a choice","vote_PCC_bin","1",-0.052,-0.089,-0.014,0.007,"**"
"Social benefits not a choice","vote_PLC_bin","0",0.003,-0.003,0.01,0.31,""
"Social benefits not a choice","vote_PLC_bin","0.33",0.015,-0.013,0.044,0.297,""
"Social benefits not a choice","vote_PLC_bin","0.66",0,-0.002,0.001,0.714,""
"Social benefits not a choice","vote_PLC_bin","1",-0.018,-0.053,0.016,0.296,""
"Welfare goes to undeserving","alberta_bin","0",-0.033,-0.062,-0.003,0.029,"*"
"Welfare goes to undeserving","alberta_bin","0.33",-0.014,-0.03,0.002,0.077,"."
"Welfare goes to undeserving","alberta_bin","0.66",0.042,0.002,0.082,0.039,"*"
"Welfare goes to undeserving","alberta_bin","1",0.005,0,0.01,0.058,"."
"Welfare goes to undeserving","employ_fulltime_bin","0",0.038,0.012,0.063,0.004,"**"
"Welfare goes to undeserving","employ_fulltime_bin","0.33",0.012,0.004,0.021,0.005,"**"
"Welfare goes to undeserving","employ_fulltime_bin","0.66",-0.045,-0.075,-0.015,0.003,"**"
"Welfare goes to undeserving","employ_fulltime_bin","1",-0.005,-0.008,-0.001,0.008,"**"
"Welfare goes to undeserving","ideo_define_QC_first_bin","0",0,-0.046,0.047,0.992,""
"Welfare goes to undeserving","ideo_define_QC_first_bin","0.33",0,-0.016,0.016,0.992,""
"Welfare goes to undeserving","ideo_define_QC_first_bin","0.66",0,-0.057,0.056,0.992,""
"Welfare goes to undeserving","ideo_define_QC_first_bin","1",0,-0.006,0.006,0.992,""
"Welfare goes to undeserving","ideo_interest_politics_num","0",-0.11,-0.153,-0.067,0,"***"
"Welfare goes to undeserving","ideo_interest_politics_num","0.33",-0.038,-0.056,-0.02,0,"***"
"Welfare goes to undeserving","ideo_interest_politics_num","0.66",0.134,0.082,0.185,0,"***"
"Welfare goes to undeserving","ideo_interest_politics_num","1",0.014,0.007,0.022,0,"***"
"Welfare goes to undeserving","ideo_right_num","0",0.314,0.253,0.375,0,"***"
"Welfare goes to undeserving","ideo_right_num","0.33",0.108,0.073,0.143,0,"***"
"Welfare goes to undeserving","ideo_right_num","0.66",-0.381,-0.451,-0.312,0,"***"
"Welfare goes to undeserving","ideo_right_num","1",-0.041,-0.056,-0.026,0,"***"
"Welfare goes to undeserving","incomeHigh_bin","0",-0.012,-0.042,0.017,0.414,""
"Welfare goes to undeserving","incomeHigh_bin","0.33",-0.005,-0.017,0.008,0.465,""
"Welfare goes to undeserving","incomeHigh_bin","0.66",0.015,-0.023,0.053,0.427,""
"Welfare goes to undeserving","incomeHigh_bin","1",0.002,-0.003,0.006,0.439,""
"Welfare goes to undeserving","quebec_bin","0",-0.012,-0.063,0.038,0.64,""
"Welfare goes to undeserving","quebec_bin","0.33",-0.005,-0.025,0.016,0.666,""
"Welfare goes to undeserving","quebec_bin","0.66",0.015,-0.049,0.079,0.647,""
"Welfare goes to undeserving","quebec_bin","1",0.002,-0.005,0.009,0.653,""
"Welfare goes to undeserving","region_eastcoast_bin","0",0.019,-0.014,0.051,0.255,""
"Welfare goes to undeserving","region_eastcoast_bin","0.33",0.006,-0.003,0.014,0.194,""
"Welfare goes to undeserving","region_eastcoast_bin","0.66",-0.022,-0.059,0.015,0.24,""
"Welfare goes to undeserving","region_eastcoast_bin","1",-0.002,-0.006,0.002,0.238,""
"Welfare goes to undeserving","ses_age","0",0.001,0,0.002,0.013,"*"
"Welfare goes to undeserving","ses_age","0.33",0,0,0.001,0.019,"*"
"Welfare goes to undeserving","ses_age","0.66",-0.001,-0.002,0,0.013,"*"
"Welfare goes to undeserving","ses_age","1",0,0,0,0.02,"*"
"Welfare goes to undeserving","ses_citizenYes_bin","0",0.035,0.006,0.063,0.018,"*"
"Welfare goes to undeserving","ses_citizenYes_bin","0.33",0.017,-0.002,0.035,0.075,"."
"Welfare goes to undeserving","ses_citizenYes_bin","0.66",-0.046,-0.087,-0.005,0.03,"*"
"Welfare goes to undeserving","ses_citizenYes_bin","1",-0.005,-0.011,0,0.051,"."
"Welfare goes to undeserving","ses_french_bin","0",0.023,-0.027,0.073,0.367,""
"Welfare goes to undeserving","ses_french_bin","0.33",0.007,-0.005,0.019,0.275,""
"Welfare goes to undeserving","ses_french_bin","0.66",-0.027,-0.083,0.029,0.348,""
"Welfare goes to undeserving","ses_french_bin","1",-0.003,-0.009,0.003,0.341,""
"Welfare goes to undeserving","ses_male_bin","0",-0.023,-0.047,0,0.048,"*"
"Welfare goes to undeserving","ses_male_bin","0.33",-0.008,-0.016,0,0.054,"."
"Welfare goes to undeserving","ses_male_bin","0.66",0.028,0,0.057,0.047,"*"
"Welfare goes to undeserving","ses_male_bin","1",0.003,0,0.006,0.057,"."
"Welfare goes to undeserving","trust_social_bin","0",-0.068,-0.09,-0.045,0,"***"
"Welfare goes to undeserving","trust_social_bin","0.33",-0.025,-0.036,-0.014,0,"***"
"Welfare goes to undeserving","trust_social_bin","0.66",0.084,0.055,0.112,0,"***"
"Welfare goes to undeserving","trust_social_bin","1",0.009,0.005,0.013,0,"***"
"Welfare goes to undeserving","univ_educ_bin","0",-0.045,-0.069,-0.022,0,"***"
"Welfare goes to undeserving","univ_educ_bin","0.33",-0.016,-0.025,-0.007,0.001,"**"
"Welfare goes to undeserving","univ_educ_bin","0.66",0.056,0.027,0.084,0,"***"
"Welfare goes to undeserving","univ_educ_bin","1",0.006,0.002,0.009,0.001,"**"
"Welfare goes to undeserving","vote_PCC_bin","0",0.037,0.001,0.072,0.045,"*"
"Welfare goes to undeserving","vote_PCC_bin","0.33",0.01,0.002,0.019,0.018,"*"
"Welfare goes to undeserving","vote_PCC_bin","0.66",-0.042,-0.082,-0.003,0.036,"*"
"Welfare goes to undeserving","vote_PCC_bin","1",-0.004,-0.008,0,0.034,"*"
"Welfare goes to undeserving","vote_PLC_bin","0",-0.006,-0.035,0.022,0.671,""
"Welfare goes to undeserving","vote_PLC_bin","0.33",-0.002,-0.012,0.008,0.677,""
"Welfare goes to undeserving","vote_PLC_bin","0.66",0.008,-0.028,0.043,0.673,""
"Welfare goes to undeserving","vote_PLC_bin","1",0.001,-0.003,0.005,0.672,""
"People have equal opportunity","alberta_bin","0",0.004,-0.007,0.014,0.523,""
"People have equal opportunity","alberta_bin","0.33",0.016,-0.033,0.066,0.513,""
"People have equal opportunity","alberta_bin","0.66",0.001,-0.002,0.004,0.413,""
"People have equal opportunity","alberta_bin","1",-0.021,-0.083,0.041,0.505,""
"People have equal opportunity","employ_fulltime_bin","0",0.003,-0.005,0.011,0.47,""
"People have equal opportunity","employ_fulltime_bin","0.33",0.014,-0.024,0.053,0.467,""
"People have equal opportunity","employ_fulltime_bin","0.66",0.001,-0.002,0.005,0.483,""
"People have equal opportunity","employ_fulltime_bin","1",-0.019,-0.068,0.031,0.464,""
"People have equal opportunity","ideo_define_QC_first_bin","0",-0.001,-0.016,0.015,0.931,""
"People have equal opportunity","ideo_define_QC_first_bin","0.33",-0.003,-0.077,0.071,0.932,""
"People have equal opportunity","ideo_define_QC_first_bin","0.66",0,-0.009,0.008,0.937,""
"People have equal opportunity","ideo_define_QC_first_bin","1",0.004,-0.094,0.103,0.932,""
"People have equal opportunity","ideo_interest_politics_num","0",0,-0.014,0.014,0.974,""
"People have equal opportunity","ideo_interest_politics_num","0.33",-0.001,-0.067,0.064,0.974,""
"People have equal opportunity","ideo_interest_politics_num","0.66",0,-0.007,0.006,0.974,""
"People have equal opportunity","ideo_interest_politics_num","1",0.001,-0.084,0.087,0.974,""
"People have equal opportunity","ideo_right_num","0",-0.033,-0.054,-0.012,0.002,"**"
"People have equal opportunity","ideo_right_num","0.33",-0.155,-0.24,-0.07,0,"***"
"People have equal opportunity","ideo_right_num","0.66",-0.015,-0.035,0.005,0.133,""
"People have equal opportunity","ideo_right_num","1",0.203,0.091,0.315,0,"***"
"People have equal opportunity","incomeHigh_bin","0",-0.01,-0.018,-0.002,0.019,"*"
"People have equal opportunity","incomeHigh_bin","0.33",-0.051,-0.093,-0.008,0.019,"*"
"People have equal opportunity","incomeHigh_bin","0.66",-0.011,-0.028,0.005,0.167,""
"People have equal opportunity","incomeHigh_bin","1",0.072,0.007,0.137,0.029,"*"
"People have equal opportunity","quebec_bin","0",-0.001,-0.017,0.016,0.917,""
"People have equal opportunity","quebec_bin","0.33",-0.004,-0.083,0.075,0.917,""
"People have equal opportunity","quebec_bin","0.66",0,-0.009,0.009,0.923,""
"People have equal opportunity","quebec_bin","1",0.005,-0.099,0.11,0.918,""
"People have equal opportunity","region_eastcoast_bin","0",0.001,-0.009,0.012,0.784,""
"People have equal opportunity","region_eastcoast_bin","0.33",0.007,-0.041,0.054,0.783,""
"People have equal opportunity","region_eastcoast_bin","0.66",0.001,-0.003,0.004,0.759,""
"People have equal opportunity","region_eastcoast_bin","1",-0.009,-0.07,0.053,0.782,""
"People have equal opportunity","ses_age","0",0,-0.001,0,0.001,"**"
"People have equal opportunity","ses_age","0.33",-0.002,-0.003,-0.001,0,"***"
"People have equal opportunity","ses_age","0.66",0,-0.001,0,0.119,""
"People have equal opportunity","ses_age","1",0.003,0.002,0.004,0,"***"
"People have equal opportunity","ses_citizenYes_bin","0",0.009,0,0.018,0.04,"*"
"People have equal opportunity","ses_citizenYes_bin","0.33",0.046,0.002,0.091,0.042,"*"
"People have equal opportunity","ses_citizenYes_bin","0.66",0.01,-0.006,0.027,0.226,""
"People have equal opportunity","ses_citizenYes_bin","1",-0.066,-0.134,0.003,0.06,"."
"People have equal opportunity","ses_french_bin","0",-0.005,-0.019,0.009,0.48,""
"People have equal opportunity","ses_french_bin","0.33",-0.024,-0.094,0.045,0.489,""
"People have equal opportunity","ses_french_bin","0.66",-0.003,-0.017,0.01,0.606,""
"People have equal opportunity","ses_french_bin","1",0.033,-0.063,0.129,0.501,""
"People have equal opportunity","ses_male_bin","0",-0.011,-0.019,-0.003,0.006,"**"
"People have equal opportunity","ses_male_bin","0.33",-0.056,-0.092,-0.019,0.003,"**"
"People have equal opportunity","ses_male_bin","0.66",-0.005,-0.012,0.002,0.174,""
"People have equal opportunity","ses_male_bin","1",0.072,0.026,0.118,0.002,"**"
"People have equal opportunity","trust_social_bin","0",-0.016,-0.024,-0.007,0,"***"
"People have equal opportunity","trust_social_bin","0.33",-0.079,-0.114,-0.043,0,"***"
"People have equal opportunity","trust_social_bin","0.66",-0.008,-0.019,0.002,0.105,""
"People have equal opportunity","trust_social_bin","1",0.103,0.057,0.149,0,"***"
"People have equal opportunity","univ_educ_bin","0",-0.002,-0.009,0.006,0.613,""
"People have equal opportunity","univ_educ_bin","0.33",-0.009,-0.045,0.026,0.612,""
"People have equal opportunity","univ_educ_bin","0.66",-0.001,-0.004,0.003,0.622,""
"People have equal opportunity","univ_educ_bin","1",0.012,-0.034,0.058,0.612,""
"People have equal opportunity","vote_PCC_bin","0",-0.012,-0.022,-0.003,0.011,"*"
"People have equal opportunity","vote_PCC_bin","0.33",-0.064,-0.111,-0.016,0.009,"**"
"People have equal opportunity","vote_PCC_bin","0.66",-0.013,-0.029,0.004,0.126,""
"People have equal opportunity","vote_PCC_bin","1",0.089,0.018,0.159,0.013,"*"
"People have equal opportunity","vote_PLC_bin","0",-0.01,-0.02,-0.001,0.035,"*"
"People have equal opportunity","vote_PLC_bin","0.33",-0.049,-0.092,-0.006,0.025,"*"
"People have equal opportunity","vote_PLC_bin","0.66",-0.006,-0.013,0.002,0.167,""
"People have equal opportunity","vote_PLC_bin","1",0.065,0.008,0.123,0.026,"*"
"Rewarded for effort and skill","alberta_bin","0",0.002,-0.011,0.015,0.717,""
"Rewarded for effort and skill","alberta_bin","0.33",0.009,-0.037,0.054,0.714,""
"Rewarded for effort and skill","alberta_bin","0.66",-0.001,-0.008,0.006,0.752,""
"Rewarded for effort and skill","alberta_bin","1",-0.01,-0.061,0.042,0.71,""
"Rewarded for effort and skill","employ_fulltime_bin","0",0.005,-0.005,0.015,0.333,""
"Rewarded for effort and skill","employ_fulltime_bin","0.33",0.018,-0.018,0.054,0.328,""
"Rewarded for effort and skill","employ_fulltime_bin","0.66",-0.002,-0.007,0.003,0.42,""
"Rewarded for effort and skill","employ_fulltime_bin","1",-0.021,-0.062,0.021,0.326,""
"Rewarded for effort and skill","ideo_define_QC_first_bin","0",0.005,-0.015,0.025,0.637,""
"Rewarded for effort and skill","ideo_define_QC_first_bin","0.33",0.017,-0.052,0.087,0.627,""
"Rewarded for effort and skill","ideo_define_QC_first_bin","0.66",-0.003,-0.019,0.013,0.719,""
"Rewarded for effort and skill","ideo_define_QC_first_bin","1",-0.019,-0.093,0.054,0.611,""
"Rewarded for effort and skill","ideo_interest_politics_num","0",-0.008,-0.025,0.009,0.367,""
"Rewarded for effort and skill","ideo_interest_politics_num","0.33",-0.028,-0.088,0.032,0.362,""
"Rewarded for effort and skill","ideo_interest_politics_num","0.66",0.003,-0.005,0.011,0.425,""
"Rewarded for effort and skill","ideo_interest_politics_num","1",0.032,-0.037,0.102,0.364,""
"Rewarded for effort and skill","ideo_right_num","0",0,-0.023,0.023,0.983,""
"Rewarded for effort and skill","ideo_right_num","0.33",0.001,-0.082,0.084,0.983,""
"Rewarded for effort and skill","ideo_right_num","0.66",0,-0.009,0.009,0.982,""
"Rewarded for effort and skill","ideo_right_num","1",-0.001,-0.098,0.096,0.983,""
"Rewarded for effort and skill","incomeHigh_bin","0",-0.014,-0.024,-0.003,0.01,"*"
"Rewarded for effort and skill","incomeHigh_bin","0.33",-0.053,-0.093,-0.012,0.01,"*"
"Rewarded for effort and skill","incomeHigh_bin","0.66",-0.004,-0.017,0.01,0.614,""
"Rewarded for effort and skill","incomeHigh_bin","1",0.07,0.009,0.131,0.024,"*"
"Rewarded for effort and skill","quebec_bin","0",-0.012,-0.031,0.006,0.19,""
"Rewarded for effort and skill","quebec_bin","0.33",-0.045,-0.11,0.021,0.183,""
"Rewarded for effort and skill","quebec_bin","0.66",0,-0.01,0.01,0.961,""
"Rewarded for effort and skill","quebec_bin","1",0.057,-0.035,0.148,0.223,""
"Rewarded for effort and skill","region_eastcoast_bin","0",0.005,-0.008,0.019,0.43,""
"Rewarded for effort and skill","region_eastcoast_bin","0.33",0.019,-0.027,0.064,0.419,""
"Rewarded for effort and skill","region_eastcoast_bin","0.66",-0.003,-0.012,0.006,0.539,""
"Rewarded for effort and skill","region_eastcoast_bin","1",-0.021,-0.071,0.029,0.404,""
"Rewarded for effort and skill","ses_age","0",0,-0.001,0,0.066,"."
"Rewarded for effort and skill","ses_age","0.33",-0.001,-0.002,0,0.056,"."
"Rewarded for effort and skill","ses_age","0.66",0,0,0,0.232,""
"Rewarded for effort and skill","ses_age","1",0.001,0,0.002,0.056,"."
"Rewarded for effort and skill","ses_citizenYes_bin","0",0.006,-0.006,0.018,0.338,""
"Rewarded for effort and skill","ses_citizenYes_bin","0.33",0.022,-0.024,0.067,0.348,""
"Rewarded for effort and skill","ses_citizenYes_bin","0.66",-0.001,-0.005,0.003,0.61,""
"Rewarded for effort and skill","ses_citizenYes_bin","1",-0.027,-0.085,0.032,0.374,""
"Rewarded for effort and skill","ses_french_bin","0",0.027,0,0.053,0.052,"."
"Rewarded for effort and skill","ses_french_bin","0.33",0.085,0.013,0.158,0.021,"*"
"Rewarded for effort and skill","ses_french_bin","0.66",-0.025,-0.059,0.009,0.158,""
"Rewarded for effort and skill","ses_french_bin","1",-0.088,-0.154,-0.021,0.01,"*"
"Rewarded for effort and skill","ses_male_bin","0",-0.002,-0.011,0.007,0.635,""
"Rewarded for effort and skill","ses_male_bin","0.33",-0.008,-0.041,0.025,0.635,""
"Rewarded for effort and skill","ses_male_bin","0.66",0.001,-0.003,0.005,0.654,""
"Rewarded for effort and skill","ses_male_bin","1",0.009,-0.029,0.048,0.635,""
"Rewarded for effort and skill","trust_social_bin","0",-0.019,-0.029,-0.009,0,"***"
"Rewarded for effort and skill","trust_social_bin","0.33",-0.073,-0.107,-0.039,0,"***"
"Rewarded for effort and skill","trust_social_bin","0.66",0.007,-0.004,0.019,0.224,""
"Rewarded for effort and skill","trust_social_bin","1",0.085,0.046,0.124,0,"***"
"Rewarded for effort and skill","univ_educ_bin","0",-0.007,-0.016,0.003,0.175,""
"Rewarded for effort and skill","univ_educ_bin","0.33",-0.024,-0.058,0.01,0.171,""
"Rewarded for effort and skill","univ_educ_bin","0.66",0.003,-0.003,0.008,0.312,""
"Rewarded for effort and skill","univ_educ_bin","1",0.027,-0.012,0.066,0.169,""
"Rewarded for effort and skill","vote_PCC_bin","0",0,-0.013,0.014,0.964,""
"Rewarded for effort and skill","vote_PCC_bin","0.33",0.001,-0.047,0.049,0.964,""
"Rewarded for effort and skill","vote_PCC_bin","0.66",0,-0.006,0.006,0.964,""
"Rewarded for effort and skill","vote_PCC_bin","1",-0.001,-0.057,0.054,0.964,""
"Rewarded for effort and skill","vote_PLC_bin","0",-0.015,-0.026,-0.004,0.01,"*"
"Rewarded for effort and skill","vote_PLC_bin","0.33",-0.056,-0.097,-0.015,0.008,"**"
"Rewarded for effort and skill","vote_PLC_bin","0.66",0.004,-0.004,0.013,0.326,""
"Rewarded for effort and skill","vote_PLC_bin","1",0.067,0.016,0.117,0.009,"**"
